Gene,FBgn,Sub-group,Sub-sub-group,Confidence,Comments,validated_id,current_symbol
CG10639,FBgn0032729,HuDis670,,,,FBgn0032729,L2HGDH
CG10688,FBgn0036300,HuDis670,,,,FBgn0036300,Pmm2
CG10778,FBgn0029980,HuDis670,,,,FBgn0029980,CG10778
CG10877,FBgn0038804,HuDis670,,,,FBgn0038804,CG10877
CG10924,FBgn0034356,HuDis670,,,,FBgn0034356,Pepck2
CG10932,FBgn0029969,HuDis670,,,,FBgn0029969,CG10932
CG11077,FBgn0039930,HuDis670,,,,FBgn0039930,CG11077
CG11089,FBgn0039241,HuDis670,,,,FBgn0039241,CG11089
CG11164,FBgn0030507,HuDis670,,,,FBgn0030507,CG11164
CG11403,FBgn0026876,HuDis670,,,,FBgn0026876,CG11403
CG11418,FBgn0024360,HuDis670,,,,FBgn0024360,MTPAP
CG11576,FBgn0039882,HuDis670,,,,FBgn0039882,Rift
CG11722,FBgn0037777,HuDis670,,,,FBgn0037777,CG11722
CG11796,FBgn0036992,HuDis670,,,,FBgn0036992,Hpd
CG11876,FBgn0039635,HuDis670,,,,FBgn0039635,Pdhb
CG11899,FBgn0014427,HuDis670,,,,FBgn0014427,CG11899
CG12014,FBgn0035445,HuDis670,,,,FBgn0035445,Ids
CG12129,FBgn0033475,HuDis670,,,,FBgn0033475,CG12129
CG12262,FBgn0035811,HuDis670,,,,FBgn0035811,Mcad
CG12272,FBgn0036571,HuDis670,,,,FBgn0036571,Strump
CG1236,FBgn0037370,HuDis670,,,,FBgn0037370,CG1236
CG12895,FBgn0033523,HuDis670,,,,FBgn0033523,CG12895
CG1291,FBgn0035401,HuDis670,,,,FBgn0035401,Alg2
CG1315,FBgn0026565,HuDis670,,,,FBgn0026565,Ass
CG13397,FBgn0014417,HuDis670,,,,FBgn0014417,CG13397
CG1358,FBgn0033196,HuDis670,,,,FBgn0033196,CG1358
CG13601,FBgn0039126,HuDis670,,,,FBgn0039126,CG13601
CG13690,FBgn0031252,HuDis670,,,,FBgn0031252,CG13690
CG13999,FBgn0031753,HuDis670,,,,FBgn0031753,CG13999
CG14043,FBgn0031659,HuDis670,,,,FBgn0031659,CG14043
CG14291,FBgn0038660,HuDis670,,,,FBgn0038660,Sgsh
CG1440,FBgn0030038,HuDis670,,,,FBgn0030038,CG1440
CG14407,FBgn0030584,HuDis670,,,,FBgn0030584,CG14407
CG1461,FBgn0030558,HuDis670,,,,FBgn0030558,CG1461
CG14721,FBgn0037942,HuDis670,,,,FBgn0037942,CG14721
CG14749,FBgn0033316,HuDis670,,,,FBgn0033316,Gle1
CG14757,FBgn0033274,HuDis670,,,,FBgn0033274,CG14757
CG15111,FBgn0034419,HuDis670,,,,FBgn0034419,CG15111
CG15117,FBgn0034417,HuDis670,,,,FBgn0034417,CG15117
CG15523,FBgn0039727,HuDis670,,,,FBgn0039727,Vps13B
CG15651,FBgn0034567,HuDis670,,,,FBgn0034567,CG15651
CG15743,FBgn0030465,HuDis670,,,,FBgn0030465,CG15743
CG15923,FBgn0038814,HuDis670,,,,FBgn0038814,CG15923
CG1628,FBgn0030218,HuDis670,,,,FBgn0030218,CG1628
CG1673,FBgn0030482,HuDis670,,,,FBgn0030482,CG1673
CG16758,FBgn0035348,HuDis670,,,,FBgn0035348,CG16758
CG16790,FBgn0037713,HuDis670,,,,FBgn0037713,CG16790
CG16892,FBgn0030122,HuDis670,,,,FBgn0030122,Aladin
CG17036,FBgn0032449,HuDis670,,,,FBgn0032449,CG17036
CG17119,FBgn0039045,HuDis670,,,,FBgn0039045,CG17119
CG1718,FBgn0031170,HuDis670,,,,FBgn0031170,ABCA
CG17387,FBgn0037276,HuDis670,,,,FBgn0037276,CG17387
CG17597,FBgn0032715,HuDis670,,,,FBgn0032715,CG17597
CG17840,FBgn0031611,HuDis670,,,,FBgn0031611,FIG4
CG17896,FBgn0023537,HuDis670,,,,FBgn0023537,CG17896
CG18012,FBgn0038552,HuDis670,,,,FBgn0038552,Alg1
CG18155,FBgn0029945,HuDis670,,,,FBgn0029945,CG18155
